Event,Time
1,34.56
2,42.87
4,49.63
6,130.45
8,136.088
10,142.903
11,152.308
12,175.53
13,184.031
15,192.216
17,197.507
18,222.517
19,226.894
21,234.963
23,244.752
24,275.697
26,283.182
27,291.636
28,299.749
30,307.309
32,314.411
33,320.446
35,327.642
36,347.864
37,354.835
39,361.254
41,376.907
43,435.466
45,445.535
46,455.248
48,461.86
50,469.089
51,476.796
53,486.236
55,494.501
57,502.311
59,510.845
60,518.887
61,528.124
62,583.819
64,591.002
66,597.743
68,604.841
69,612.025
71,619.12
73,626.059
75,631.87
77,645.23
79,653.532
80,659.866
82,668.315
84,694.706
85,701.499
87,709.629
89,715.999
90,724.021
91,731.981
93,739.752
94,748.691
95,755.172
96,762.243
98,771.424
99,781.688
101,805.225
103,813.59
104,824.407
106,831.96
108,841.488
110,849.733
112,856.806
113,863.163
114,868.819
116,875.412
118,882.402
120,892.032
122,914.768
124,920.821
125,928.398
127,936.056
128,943.505
130,950.263
132,960.572
134,968.915
136,979.126
138,987.296
139,995.435
141,1005.063
143,1013.019
144,1022.254
146,1033.551
147,1059.268
148,1071.045
150,1079.479
