Event,Time
1,21.235
2,51.802
3,60.358
4,68.84
6,77.586
8,84.374
10,91.527
11,98.321
13,105.149
14,113.288
15,120.971
16,128.946
17,137.368
18,144.216
19,171.629
21,177.386
23,186.554
25,196.163
28,204.14
30,214.042
31,224.56
32,234.595
34,243.194
35,252.147
36,264.246
37,287.852
38,296.996
39,313.911
40,327.14
41,344.034
42,361.334
43,369.701
44,380.017
45,389.787
46,399.918
47,408.436
48,415.604
49,425.925
50,436.257
51,444.013
52,451.187
53,460.619
54,467.865
56,479.55
57,498.827
59,509.683
60,521.458
61,529.648
62,538.535
63,545.853
64,556.279
68,574.044
69,580.159
70,587.703
71,597.803
73,651.249
74,658.738
75,666.401
76,676.03
77,685.167
78,693.29
79,703.288
80,712.881
81,724.357
82,743.215
84,762.999
85,822.715
87,837.905
89,848.936
90,858.734
91,867.711
92,878.732
94,888.852
95,897.998
96,906.651
97,915.271
98,923.861
99,935.464
100,995.641
101,1006.944
102,1016.319
103,1024.608
105,1034.146
106,1043.532
108,1050.294
109,1063.621
110,1074.065
