Event,Time
1,6.519
3,13.099
4,21.221
6,37.883
7,46.308
8,53.932
9,76.268
10,85.054
11,94.617
12,102.02
13,109.362
15,119.384
17,127.963
18,137.728
19,153.027
20,162.049
21,169.709
22,187.091
23,245.545
25,256.696
26,265.896
27,274.97
28,285.987
29,293.76
30,303.52
32,314.543
33,327.027
35,338.867
36,349.258
37,360.607
39,419.874
40,429.703
41,438.847
42,447.304
43,458.048
44,466.692
45,475.839
46,487.406
47,496.635
48,505.357
50,514.512
51,522.374
52,577.729
54,585.154
55,595.806
57,604.473
58,612.99
59,623.001
60,631.643
62,640.045
63,648.184
64,656.628
66,675.744
67,727.747
69,745.311
70,752.34
71,760.731
72,768.811
73,775.909
75,784.074
76,793.119
77,800.853
78,810.205
80,818.554
81,951.433
83,958.624
85,967.133
86,975.478
87,985.81
89,995.262
91,1004.03
92,1012.843
93,1023.229
94,1032.475
95,1041.713
96,1052.373
