Event,Time
1,8.206
2,18.638
3,74.559
4,81.081
6,88.491
8,95.5
9,102.408
10,110.73
11,118.441
12,127.974
13,139.182
14,151.023
15,158.731
16,166.969
18,192.981
19,199.245
20,205.072
21,213.205
22,222.525
23,231.336
25,242.498
26,248.079
27,255.797
28,264.051
29,273.828
30,281.686
32,331.231
33,341.347
35,351.532
36,362.297
37,370.797
39,383.68
41,393.114
43,401.531
45,412.637
46,425.245
48,434.867
49,441.745
50,487.144
52,501.001
53,510.056
55,518.189
57,525.522
58,534.512
60,542.901
61,555.612
62,566.301
63,573.833
64,582.87
66,589.705
67,1115.41
68,1122.718
70,1134.241
71,1140.78
73,1148.212
74,1159.466
75,1174.774
76,1184.497
77,1192.89
78,1199.826
80,1208.34
81,1215.756
83,1268.761
84,1277.483
85,1284.71
86,1293.295
87,1301.517
89,1311.182
90,1321.504
91,1334.757
92,1344.516
93,1355.219
95,1366.228
97,1375.236
99,1549.275
101,1555.287
103,1561.328
104,1567.889
105,1577.593
107,1586.15
108,1593.799
110,1601.436
