Event,Time
1,8.634
2,21.89
4,67.748
6,74.47
7,81.958
8,89.564
9,98.645
10,107.017
11,114.603
13,121.282
15,133.042
16,139.326
18,146.54
19,153.068
20,195.532
22,202.768
23,210.177
24,221.306
26,229.565
27,239.565
28,247.954
29,262.194
31,268.257
33,274.489
34,280.506
35,285.364
36,306.832
38,314.776
39,321.038
41,327.872
42,333.95
43,343.654
44,352.25
46,359.644
47,369.137
48,376.943
49,383.859
51,390.165
52,414.897
54,420.886
55,427.187
57,433.541
58,442.632
59,449.8
60,458.604
61,470.949
63,481.212
65,492.141
67,502.727
69,511.571
71,554.092
72,560.573
73,567.29
74,573.496
75,582.316
76,589.837
78,595.603
79,601.254
81,612.141
82,618.036
83,636.799
84,645.347
85,871.125
86,877.222
87,883.245
88,888.633
89,893.27
91,900.875
92,906.426
94,912.866
95,920.553
96,929.619
97,937.447
99,944.051
100,1067.741
103,1075.219
104,1080.515
106,1086.091
108,1092.105
109,1097.987
111,1106.899
112,1115.638
