Event,Time
2,27.426
3,54.666
4,155.813
6,182.934
7,199.512
8,248.454
9,270.291
10,288.585
12,306.801
13,327.795
14,357.362
15,468.191
16,480.902
17,494.716
18,507.917
77,551.174
78,569.42
79,587.949
81,606.464
83,624.773
85,640.702
86,655.955
87,671.112
88,2821.323
89,2832.777
90,2841.32
91,2850.178
92,2860.847
93,2871.487
94,2880.203
96,2891.036
99,2910.774
100,2921.453
102,2933.588
103,3008.903
104,3017.992
105,3026.859
107,3065.1
108,3074.986
109,3075.064
110,3093.998
111,3107.358
113,3116.27
114,3127.364
115,3140.344
116,3148.309
117,3156.565
119,3314.62
121,3324.069
123,3331.654
124,3340.263
125,3348.45
126,3356.481
127,3365.165
128,3377.413
129,3388.589
130,3400.532
131,3413.848
132,3425.849
134,3450.695
135,3460.093
136,3472.417
137,3481.412
138,3492.41
139,3501.433
140,3517.864
141,3540.456
142,3555.953
143,3581.727
144,3595.362
145,3607.525
146,3628.609
147,3659.758
148,3673.369
149,3685.979
150,3697.619
151,3711.581
152,3721.323
154,3734.388
155,3749.061
157,3763.416
158,3775.667
159,3785.99
160,3797.661
161,3825.428
162,3841.804
163,3857.935
165,3869.112
166,3879.24
167,3890.216
168,3903.571
169,3912.415
170,3926.286
171,3942.804
172,3953.175
173,3964.571
174,4005.769
175,4022.334
176,4033.007
177,4061.902
179,4074.469
181,4083.765
182,4095.566
184,4107.087
185,4123.138
187,4137.187
188,4152.968
190,4168.666
191,4186.527
193,4198.924
194,4206.952
195,4238.604
196,4250.139
197,4261.009
198,4273.455
199,4286.312
201,4296.849
202,4304.338
203,4316.795
204,4326.925
205,4410.266
206,4424.208
207,4434.533
208,4499.726
209,4511.94
210,4521.031
211,4534.108
212,4545.35
214,4560.103
215,4577.056
216,4585.126
217,4591.84
218,4599.217
219,4606.77
220,4616.427
222,4668.356
223,4679.456
224,4692.991
225,4706.474
226,4716.896
227,4725.927
228,4734.124
229,4746.593
230,4758.66
231,4769.526
