Event,Time
2,4.26
4,18.656
5,42.045
7,52.375
9,61.811
11,72.692
12,82.393
13,91.931
15,101.174
16,111.029
18,119.436
21,132.26
23,141.681
24,151.216
25,159.179
27,181.668
29,191.856
31,205.367
33,215.209
34,225.149
35,234.603
36,243.605
37,248.172
39,254.071
41,262.612
42,276.617
44,287.547
45,314.079
47,336.67
49,344.96
50,355.484
52,364.958
53,373.976
55,383.105
56,394.397
58,403.749
59,413.213
60,423.775
62,433.808
63,513.035
65,542.345
67,551.028
69,561.518
71,570.552
73,580.291
74,590.498
75,600.158
77,609.493
78,619.534
80,629.233
81,639.344
82,665.595
84,676.746
85,685.677
86,694.686
88,703.545
89,727.753
91,736.23
93,745.6
95,756.236
97,765.102
99,775.823
100,789.974
101,901
105,915.492
106,923.741
107,931.208
108,947.698
110,1012.648
111,1361.495
112,1378.045
113,1396.09
115,1405.96
117,1416.548
118,1428.682
119,1659.637
120,1698.088
122,1718.735
123,1749.425
124,1777.264
126,1790.296
127,1821.133
128,1834.185
129,1843.031
130,1852.444
131,1859.194
133,1867.559
134,1876.662
135,1903.895
136,1911.289
137,1930.527
138,1939.495
140,1948.158
142,1957.023
144,1967.569
145,1979.177
147,1987.859
148,1997.323
149,2007.491
150,2015.509
152,2023.305
154,2032.275
156,2054.163
157,2063.423
159,2071.948
160,2081.097
162,2090.678
163,2100.052
165,2109.961
166,2120.42
167,2131.544
169,2140.723
171,2150.174
173,2162.622
175,2175.034
177,2200.64
179,2223.194
181,2233.798
183,2244.088
185,2255.492
186,2266.011
188,2277.166
190,2286.966
191,2297.337
192,2307.608
194,2317.871
196,2330.495
198,2340.987
200,2363.342
202,2373.725
204,2384.432
206,2396.327
208,2407.145
210,2418.653
212,2429.768
213,2439.643
215,2448.943
217,2462.325
218,2471.44
220,2481.235
222,2502.6
224,2512.812
226,2523.044
229,2537.305
231,2548.14
232,2558.23
