Event,Time
2,10.539
4,198.075
5,210.883
6,219.482
7,228.514
8,237.886
9,269.883
10,277.445
12,285.944
14,298.154
15,301.08
16,327.917
17,341.534
19,364.825
20,395.964
22,408.856
23,431.916
24,444.462
26,478.048
28,487.818
29,502.225
30,517.991
31,527.502
32,540.156
33,559.234
35,573.272
37,625
39,641.994
41,663.08
42,684.405
43,709.543
45,716.767
46,732.82
47,740.608
48,749.041
49,756.999
50,764.439
51,773.203
52,788.377
53,798.115
54,814.354
55,824.193
56,834.564
58,844.234
59,913.173
60,929.958
61,966.654
62,1027.654
63,1039.434
64,1047.689
65,1057.92
66,1067.157
67,1077.687
68,1089.91
69,1100.788
70,1111.472
72,1123.127
73,1132.691
74,1150.354
75,1432.974
77,1445.581
79,1592.066
80,1613.607
82,1626.127
83,1646.048
84,1657.9
85,1673.037
87,1686.676
89,1705.947
90,1717.825
92,1743.859
93,1800.226
94,1826.063
95,1843.151
97,1859.391
98,1909.624
99,1963.821
101,2011.78
102,2033.671
103,2045.466
104,2093.9
106,2116.077
108,2128.477
109,2536.39
110,2542.432
111,2548.402
112,2553.903
113,2560.045
114,2565.776
115,2570.966
116,2577.033
117,2591.299
118,2598.98
119,2604.961
120,2609.636
121,2654.898
122,2661.346
123,2667.61
124,2674.521
126,2680.784
127,2687.589
129,2693.771
131,2702.172
133,2763.519
134,2772.598
135,2780.023
137,2788.11
138,2795.312
139,2800.431
140,2812.016
441,2860.644
442,2870.674
443,2881.354
444,2890.274
446,2901.403
447,3003.161
448,3012.395
449,3021.067
451,3028.779
452,3035.773
453,3042.171
454,3049.852
455,3057.109
456,3064.532
457,3072.387
458,3080.24
459,3086.723
460,3108.143
461,3114.88
462,3124.278
464,3129.567
465,3136.833
466,3145.063
467,3163.91
469,3170.958
471,3180.588
473,3186.83
474,3196.909
476,3204.359
477,3214.595
478,3240.792
479,3251.773
480,3259.951
482,3266.825
483,3275.283
484,3283.965
485,3294.744
486,3303.099
487,3311.57
488,3319.74
489,3329.085
491,3336.024
493,3345.046
494,3353.78
496,3362.658
497,3396.557
498,3414.286
499,3422.214
501,3429.678
503,3438.939
505,3450.014
507,3459.385
509,3469.304
510,3479.086
512,3486.332
514,3495.612
516,3507.347
517,3517.182
518,3530.767
519,3573.238
520,3593.863
521,3603.607
522,3611.856
523,3620.013
524,3628.718
525,3638.955
526,3649.072
528,3657.257
530,3666.082
531,3676.712
532,3688.171
533,3701.898
534,3751.362
537,3778.659
538,3785.478
539,3793.444
540,3804.571
541,3813.618
542,3820.886
543,3829.948
545,3842.07
547,3850.487
548,3860.228
549,3906.41
551,3913.815
553,3922.372
554,3935.474
555,3943.33
556,3952.906
557,3961.599
558,3971.258
559,3980.021
560,3987.855
562,3994.856
563,4005.539
