Event,Time
1,10.146
2,23.299
3,47.989
5,68.039
7,81.154
8,88.579
10,155.829
12,174.116
14,187.082
15,198.225
16,208.965
17,217.764
18,228.709
19,240.408
21,245.848
23,253.712
25,261.923
27,269.751
28,326.052
30,334.719
31,343.32
33,351.675
35,360.84
36,368.231
37,376.959
39,387.084
40,398.029
41,404.587
42,412.073
44,419.646
46,467.027
47,477.192
48,484.678
49,492.088
50,500.194
52,507.557
53,515.122
54,521.08
55,531.75
56,537.839
57,544.13
58,550.923
59,605.174
60,613.108
61,619.51
63,627.284
65,634.475
66,643.908
67,651.656
68,658.07
70,666.063
72,674.522
73,684.78
74,696.873
76,744.622
77,751.203
78,760.307
80,768.377
81,776.045
83,783.025
84,791.606
86,797.743
88,805.653
90,812.189
91,818.744
92,828.636
93,874.758
94,882.197
95,890.783
96,899.432
98,941.088
100,948.349
102,956.072
104,963.465
106,971.783
108,978.986
110,987.006
111,996.843
113,1128.114
114,1137.861
116,1144.003
118,1152.003
120,1159.61
122,1168.2
124,1176.765
126,1185.856
127,1194.17
129,1202.595
131,1214.862
133,1225.796
134,1278.589
136,1289.244
137,1295.954
138,1301.807
139,1311.797
141,1318.057
142,1328.301
143,1338.183
145,1346.009
147,1355.518
149,1362.449
151,1369.273
152,1378.97
153,1387.333
154,1393.285
155,1401.187
156,1419.351
158,1426.213
160,1437.567
162,1623.25
163,1631.211
165,1694.541
167,1711.103
168,1719.359
169,1726.944
171,1734.226
172,1740.404
173,1747.922
175,1755.168
177,1767.748
179,1772.645
180,2363.331
182,2395.744
183,2402.524
184,2408.767
185,2415.627
186,2424.087
188,2431.622
189,2441.375
191,2449.393
193,2457.258
195,2464.858
197,2474.483
198,2486.037
200,2493.538
202,2516.814
204,2523.868
205,2530.269
206,2537.5
207,2549.292
208,2597.616
209,2605.957
210,2614.444
211,2623.359
212,2631.97
214,2639.732
216,2646.132
217,2654.086
218,2663.093
219,2672.105
220,2694.761
221,2705.814
222,2714.842
224,2724.137
225,2732.088
226,2741.355
227,2749.562
228,2757.403
229,2765.04
230,2772.831
232,2780.74
