Event,Time
1,5.592
2,18.823
4,27.681
5,38.444
6,48.526
8,56.727
9,69.202
10,78.627
11,87.504
13,99.325
14,109.613
15,120.123
17,173.373
19,184.928
20,193.428
22,202.944
23,213.184
24,221.78
25,235.681
26,243.071
27,250.298
28,265.393
30,272.802
32,297.631
33,307.985
34,316.28
36,323.836
37,330.531
38,339.393
39,346.54
41,353.876
42,363.574
43,371.625
44,379.822
46,387.511
48,455.761
49,465.161
50,492.003
51,499.13
53,506.293
54,515.846
56,523.928
57,531.436
58,540.723
60,586.618
61,592.209
63,597.822
64,606.546
65,614.201
66,623.898
67,631.388
69,638.837
70,647.001
71,655.777
73,664.962
74,675.139
75,725.596
76,733.806
78,743.715
80,752.876
81,760.941
83,768.585
84,777.309
85,784.83
87,801.078
88,808.711
89,816.57
90,824.542
91,867.604
92,880.914
93,888.397
95,896.596
97,904.536
98,912.311
99,925.574
100,936.571
102,943.254
103,952.11
104,964.045
105,1102.322
107,1109.469
108,1115.548
109,1122.184
111,1130.677
112,1138.799
113,1147.469
114,1153.724
115,1161.978
116,1169.262
117,1176.619
118,1184.353
119,1215.45
121,1225.142
122,1234.494
124,1244.876
125,1254.816
126,1261.833
127,1269.188
128,1276.611
129,1284.949
130,1292.888
131,1302.187
132,1310.69
133,1333.882
135,1340.267
136,1347.844
138,1360.213
139,1369.342
140,1379.124
141,1387.294
142,1393.898
143,1401.075
145,1408.052
146,1416.202
147,1424.09
149,1445.508
150,1451.173
151,1457.13
152,1463.932
153,1470.5
154,1477.3
156,1487.3
158,1493.867
159,1501.728
160,1509.169
161,1516.783
162,1525.067
163,1546.377
164,1557.967
165,1565.432
166,1574.729
167,1583.998
169,1592.396
170,1601.316
171,1610.32
172,1619.046
173,1629.305
175,1638.412
177,1646.115
179,1654.989
180,1676.068
181,1683.605
182,1693.633
184,1700.789
185,1706.618
186,1715.84
187,1724.25
188,1731.73
189,1740.872
190,1749.918
191,1757.022
192,1765.049
194,1772.316
196,1780.083
197,1786.553
198,1803.506
200,1812.931
202,1820.994
204,1829.517
206,1837.019
207,1845.723
208,1855.013
210,1863.259
211,1871.737
213,1882.313
215,1891.622
216,1899.074
218,1942.795
220,1950.622
221,1958.453
222,1967.586
223,1976.345
224,1983.267
225,1991.758
227,2001.431
228,2007.568
229,2015.958
230,2024.425
231,2032.252
232,2076.857
233,2093.566
235,2102.2
236,2109.795
237,2116.994
239,2124.395
240,2130.916
241,2139.748
243,2147.925
244,2154.361
246,2162.057
